Statistic Label,Month,NACE Group,UNIT,VALUE
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,101.2
Retail Sales Index Volume Adjusted,2021 February,Retail sale of furniture and lighting (4759),Base Year 2021=100,75.6
Retail Sales Index Volume Adjusted,2021 February,Bars (5630),Base Year 2021=100,25.8
Retail Sales Index Volume Adjusted,2021 February,All retail businesses,Base Year 2021=100,89.8
Retail Sales Index Volume Adjusted,2021 February,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,99.7
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,88.1
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades",Base Year 2021=100,83.5
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,88.4
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,100.7
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,79.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,99.2
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,102.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,117.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,27.6
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,76.2
Retail Sales Index Volume Adjusted,2021 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,75.8
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,65.2
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,90.3
Retail Sales Index Volume Adjusted,2021 March,Motor trades (45),Base Year 2021=100,99.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102.4
Retail Sales Index Volume Adjusted,2021 March,Department stores (4719),Base Year 2021=100,77.3
Retail Sales Index Volume Adjusted,2021 March,Retail sale of automotive fuel (4730),Base Year 2021=100,90.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,125.7
Retail Sales Index Volume Adjusted,2021 March,Retail sale of furniture and lighting (4759),Base Year 2021=100,82.4
Retail Sales Index Volume Adjusted,2021 March,Bars (5630),Base Year 2021=100,26.3
Retail Sales Index Volume Adjusted,2021 March,All retail businesses,Base Year 2021=100,90.1
Retail Sales Index Volume Adjusted,2021 March,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,98.1
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,89.5
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades",Base Year 2021=100,84.9
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,89.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,103.1
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,80.7
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,102.8
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,109.4
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,110.9
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,28.1
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,81.5
Retail Sales Index Volume Adjusted,2021 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,80.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,75.7
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,88.8
Retail Sales Index Volume Adjusted,2021 April,Motor trades (45),Base Year 2021=100,97.4
Retail Sales Index Volume Adjusted,2021 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,104.8
Retail Sales Index Volume Adjusted,2021 April,Department stores (4719),Base Year 2021=100,55.8
Retail Sales Index Volume Adjusted,2021 April,Retail sale of automotive fuel (4730),Base Year 2021=100,92.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,121
Retail Sales Index Volume Adjusted,2021 April,Retail sale of furniture and lighting (4759),Base Year 2021=100,89.5
Retail Sales Index Volume Adjusted,2021 April,Bars (5630),Base Year 2021=100,34.7
Retail Sales Index Volume Adjusted,2021 April,All retail businesses,Base Year 2021=100,90.4
Retail Sales Index Volume Adjusted,2021 April,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,96.3
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,88.6
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades",Base Year 2021=100,85.5
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,88.6
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,104.8
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,77.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,103.3
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,113.1
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,107.2
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,27
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,85.3
Retail Sales Index Volume Adjusted,2021 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,84.7
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,76.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,80.7
Retail Sales Index Volume Adjusted,2021 May,Motor trades (45),Base Year 2021=100,110.6
Retail Sales Index Volume Adjusted,2021 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,101.7
Retail Sales Index Volume Adjusted,2021 May,Department stores (4719),Base Year 2021=100,107.4
Retail Sales Index Volume Adjusted,2021 May,Retail sale of automotive fuel (4730),Base Year 2021=100,100.6
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,97
Retail Sales Index Volume Adjusted,2021 May,Retail sale of furniture and lighting (4759),Base Year 2021=100,105.4
Retail Sales Index Volume Adjusted,2021 May,Bars (5630),Base Year 2021=100,25.7
Retail Sales Index Volume Adjusted,2021 May,All retail businesses,Base Year 2021=100,100.6
Retail Sales Index Volume Adjusted,2021 May,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,108.4
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,98.9
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades",Base Year 2021=100,94.3
Retail Sales Index Volume Adjusted,2021 May,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,98.9
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,102
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,98.7
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,104.2
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,103.9
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,96.4
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,122.7
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,87.2
Retail Sales Index Volume Adjusted,2021 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,86.4
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,70.1
Retail Sales Index Volume Adjusted,2021 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,88.8
Retail Sales Index Volume Adjusted,2021 June,Motor trades (45),Base Year 2021=100,106.1
Retail Sales Index Volume Adjusted,2021 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,99.6
Retail Sales Index Volume Adjusted,2021 June,Department stores (4719),Base Year 2021=100,128.9
Retail Sales Index Volume Adjusted,2021 June,Retail sale of automotive fuel (4730),Base Year 2021=100,111
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,95.6
Retail Sales Index Volume Adjusted,2021 June,Retail sale of furniture and lighting (4759),Base Year 2021=100,113.8
Retail Sales Index Volume Adjusted,2021 June,Bars (5630),Base Year 2021=100,91.5
Retail Sales Index Volume Adjusted,2021 June,All retail businesses,Base Year 2021=100,106.9
Retail Sales Index Volume Adjusted,2021 June,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,108.2
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,104
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades",Base Year 2021=100,104.6
Retail Sales Index Volume Adjusted,2021 June,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.5
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,100.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,104.3
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,107.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,103.6
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,97
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,128.1
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,96.5
Retail Sales Index Volume Adjusted,2021 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,97.5
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,112.8
Retail Sales Index Volume Adjusted,2021 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,99.7
Retail Sales Index Volume Adjusted,2021 July,Motor trades (45),Base Year 2021=100,112
Retail Sales Index Volume Adjusted,2021 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102.9
Retail Sales Index Volume Adjusted,2021 July,Department stores (4719),Base Year 2021=100,112.5
Retail Sales Index Volume Adjusted,2021 July,Retail sale of automotive fuel (4730),Base Year 2021=100,107.7
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,94.8
Retail Sales Index Volume Adjusted,2021 July,Retail sale of furniture and lighting (4759),Base Year 2021=100,111.6
Retail Sales Index Volume Adjusted,2021 July,Bars (5630),Base Year 2021=100,124.7
Retail Sales Index Volume Adjusted,2021 July,All retail businesses,Base Year 2021=100,105.4
Retail Sales Index Volume Adjusted,2021 July,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,108.6
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,103.9
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades",Base Year 2021=100,105.5
Retail Sales Index Volume Adjusted,2021 July,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.7
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,102.8
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.2
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,104
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,99.3
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,95
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,123.3
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,97.7
Retail Sales Index Volume Adjusted,2021 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,99.4
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,101.1
Retail Sales Index Volume Adjusted,2021 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,100.8
Retail Sales Index Volume Adjusted,2021 August,Motor trades (45),Base Year 2021=100,107.6
Retail Sales Index Volume Adjusted,2021 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,96.3
Retail Sales Index Volume Adjusted,2021 August,Department stores (4719),Base Year 2021=100,110.2
Retail Sales Index Volume Adjusted,2021 August,Retail sale of automotive fuel (4730),Base Year 2021=100,111.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,94.9
Retail Sales Index Volume Adjusted,2021 August,Retail sale of furniture and lighting (4759),Base Year 2021=100,110.2
Retail Sales Index Volume Adjusted,2021 August,Bars (5630),Base Year 2021=100,152.5
Retail Sales Index Volume Adjusted,2021 August,All retail businesses,Base Year 2021=100,104.1
Retail Sales Index Volume Adjusted,2021 August,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,108.4
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,101.7
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades",Base Year 2021=100,103.5
Retail Sales Index Volume Adjusted,2021 August,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,100.8
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,96.5
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.5
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,101.2
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,101.4
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,99.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,125.3
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,89.8
Retail Sales Index Volume Adjusted,2021 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,90.7
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,116.3
Retail Sales Index Volume Adjusted,2021 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,98.6
Retail Sales Index Volume Adjusted,2021 September,Motor trades (45),Base Year 2021=100,105.9
Retail Sales Index Volume Adjusted,2021 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,96.5
Retail Sales Index Volume Adjusted,2021 September,Department stores (4719),Base Year 2021=100,112.7
Retail Sales Index Volume Adjusted,2021 September,Retail sale of automotive fuel (4730),Base Year 2021=100,106.3
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,89.6
Retail Sales Index Volume Adjusted,2021 September,Retail sale of furniture and lighting (4759),Base Year 2021=100,111.6
Retail Sales Index Volume Adjusted,2021 September,Bars (5630),Base Year 2021=100,182.3
Retail Sales Index Volume Adjusted,2021 September,All retail businesses,Base Year 2021=100,105.1
Retail Sales Index Volume Adjusted,2021 September,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,104.3
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,103.9
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades",Base Year 2021=100,106.7
Retail Sales Index Volume Adjusted,2021 September,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,103.4
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,96
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,106.3
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,99.1
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,95.8
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,95.4
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,130.5
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,100.5
Retail Sales Index Volume Adjusted,2021 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,103.1
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,112.5
Retail Sales Index Volume Adjusted,2021 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,102.1
Retail Sales Index Volume Adjusted,2021 October,Motor trades (45),Base Year 2021=100,104
Retail Sales Index Volume Adjusted,2021 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,97.5
Retail Sales Index Volume Adjusted,2021 October,Department stores (4719),Base Year 2021=100,112.2
Retail Sales Index Volume Adjusted,2021 October,Retail sale of automotive fuel (4730),Base Year 2021=100,104.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,91.3
Retail Sales Index Volume Adjusted,2021 October,Retail sale of furniture and lighting (4759),Base Year 2021=100,108.2
Retail Sales Index Volume Adjusted,2021 October,Bars (5630),Base Year 2021=100,189.5
Retail Sales Index Volume Adjusted,2021 October,All retail businesses,Base Year 2021=100,109.7
Retail Sales Index Volume Adjusted,2021 October,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,104.4
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,109
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades",Base Year 2021=100,112.6
Retail Sales Index Volume Adjusted,2021 October,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,109.4
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,96.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,118.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,90
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,96.6
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,94.9
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,129.7
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,134.8
Retail Sales Index Volume Adjusted,2021 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,141.1
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,133.8
Retail Sales Index Volume Adjusted,2021 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,104.3
Retail Sales Index Volume Adjusted,2021 November,Motor trades (45),Base Year 2021=100,109.8
Retail Sales Index Volume Adjusted,2021 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,96.2
Retail Sales Index Volume Adjusted,2021 November,Department stores (4719),Base Year 2021=100,108.2
Retail Sales Index Volume Adjusted,2021 November,Retail sale of automotive fuel (4730),Base Year 2021=100,104.3
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,94.5
Retail Sales Index Volume Adjusted,2021 November,Retail sale of furniture and lighting (4759),Base Year 2021=100,109.2
Retail Sales Index Volume Adjusted,2021 November,Bars (5630),Base Year 2021=100,196.1
Retail Sales Index Volume Adjusted,2021 November,All retail businesses,Base Year 2021=100,111.8
Retail Sales Index Volume Adjusted,2021 November,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,112.3
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,108.2
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades",Base Year 2021=100,112.1
Retail Sales Index Volume Adjusted,2021 November,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,108.7
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,95.9
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,114.8
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,96.2
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,99.1
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,106.3
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,124
Retail Sales Index Volume Adjusted,2021 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,124.3
